"project_id","project_name","milestone_name","milestone_description","milestone_status","milestone_start_date","milestone_completion_date","planned_start_date","planned_completion_date","document_id","document_name"
11178,"Abon East Africa Ltd, 2017-2","Payments","Afritech payment 100%","Pending","2017-04-30 05:00:00","2017-05-22 05:00:00","2017-04-30 05:00:00","2017-05-06 05:00:00",7628,"Afritech Payment"
11178,"Abon East Africa Ltd, 2017-2","Payments","Afritech payment 100%","Pending","2017-04-30 05:00:00","2017-05-22 05:00:00","2017-04-30 05:00:00","2017-05-06 05:00:00",7629,"Afritech Payment"
11178,"Abon East Africa Ltd, 2017-2","Payments","Afritech payment 100%","Pending","2017-04-30 05:00:00","2017-05-22 05:00:00","2017-04-30 05:00:00","2017-05-06 05:00:00",7630,"Afritech Payment"
11072,"Abon East Africa Ltd, 2017-1 ","In Transit","PELLERIN","Pending","2017-04-17 05:00:00","2017-06-09 05:00:00","2017-04-17 05:00:00","2017-06-09 05:00:00",7684,"Pellerin Bill of Lading"
11072,"Abon East Africa Ltd, 2017-1 ","In Transit","PELLERIN","Pending","2017-04-17 05:00:00","2017-06-09 05:00:00","2017-04-17 05:00:00","2017-06-09 05:00:00",7685,"Pellerin Bill of Lading"
11072,"Abon East Africa Ltd, 2017-1 ","In Transit","PELLERIN","Pending","2017-04-17 05:00:00","2017-06-09 05:00:00","2017-04-17 05:00:00","2017-06-09 05:00:00",7686,"Pellerin Bill of Lading"
11072,"Abon East Africa Ltd, 2017-1 ","In Transit","PELLERIN","Pending","2017-04-17 05:00:00","2017-06-09 05:00:00","2017-04-17 05:00:00","2017-06-09 05:00:00",7800,"Pellerin shipment departure e-mail 5252017"
11072,"Abon East Africa Ltd, 2017-1 ","In Transit","PELLERIN","Pending","2017-04-17 05:00:00","2017-06-09 05:00:00","2017-04-17 05:00:00","2017-06-09 05:00:00",7801,"Pellerin shipment departure e-mail"
11072,"Abon East Africa Ltd, 2017-1 ","In Transit","PELLERIN","Pending","2017-04-17 05:00:00","2017-06-09 05:00:00","2017-04-17 05:00:00","2017-06-09 05:00:00",7802,"Pellerin shipment departure e-mail"
11072,"Abon East Africa Ltd, 2017-1 ","SME Kitting/Manufacturing/Delivery","Staging or Manufacturing Pictures","Pending","2017-06-10 05:00:00","2017-06-30 05:00:00","2017-06-10 05:00:00","2017-06-23 05:00:00",7803,"Installation works"
11072,"Abon East Africa Ltd, 2017-1 ","SME Kitting/Manufacturing/Delivery","Staging or Manufacturing Pictures","Pending","2017-06-10 05:00:00","2017-06-30 05:00:00","2017-06-10 05:00:00","2017-06-23 05:00:00",7804,"Installation works"
11072,"Abon East Africa Ltd, 2017-1 ","SME Kitting/Manufacturing/Delivery","Staging or Manufacturing Pictures","Pending","2017-06-10 05:00:00","2017-06-30 05:00:00","2017-06-10 05:00:00","2017-06-23 05:00:00",7805,"Installation works"
11178,"Abon East Africa Ltd, 2017-2","SME Kitting/Manufacturing/Delivery","Staging or Manufacturing Pictures","Pending","2017-06-13 05:00:00","2017-06-23 05:00:00","2017-06-13 05:00:00","2017-06-23 05:00:00",7806,"Installation works"
11178,"Abon East Africa Ltd, 2017-2","SME Kitting/Manufacturing/Delivery","Staging or Manufacturing Pictures","Pending","2017-06-13 05:00:00","2017-06-23 05:00:00","2017-06-13 05:00:00","2017-06-23 05:00:00",7807,"Installation works"
11178,"Abon East Africa Ltd, 2017-2","SME Kitting/Manufacturing/Delivery","Staging or Manufacturing Pictures","Pending","2017-06-13 05:00:00","2017-06-23 05:00:00","2017-06-13 05:00:00","2017-06-23 05:00:00",7808,"Installation works"
11178,"Abon East Africa Ltd, 2017-2","SME Kitting/Manufacturing/Delivery","Staging or Manufacturing Pictures","Pending","2017-06-13 05:00:00","2017-06-23 05:00:00","2017-06-13 05:00:00","2017-06-23 05:00:00",7809,"Installation works"
11178,"Abon East Africa Ltd, 2017-2","SME Kitting/Manufacturing/Delivery","Staging or Manufacturing Pictures","Pending","2017-06-13 05:00:00","2017-06-23 05:00:00","2017-06-13 05:00:00","2017-06-23 05:00:00",7810,"Installation works"
11178,"Abon East Africa Ltd, 2017-2","SME Kitting/Manufacturing/Delivery","Staging or Manufacturing Pictures","Pending","2017-06-13 05:00:00","2017-06-23 05:00:00","2017-06-13 05:00:00","2017-06-23 05:00:00",7811,"Installation works"
11178,"Abon East Africa Ltd, 2017-2","SME Kitting/Manufacturing/Delivery","Staging or Manufacturing Pictures","Pending","2017-06-13 05:00:00","2017-06-23 05:00:00","2017-06-13 05:00:00","2017-06-23 05:00:00",7812,"Installation works"
11178,"Abon East Africa Ltd, 2017-2","SME Kitting/Manufacturing/Delivery","Staging or Manufacturing Pictures","Pending","2017-06-13 05:00:00","2017-06-23 05:00:00","2017-06-13 05:00:00","2017-06-23 05:00:00",7813,"Installation works"
11178,"Abon East Africa Ltd, 2017-2","SME Kitting/Manufacturing/Delivery","Staging or Manufacturing Pictures","Pending","2017-06-13 05:00:00","2017-06-23 05:00:00","2017-06-13 05:00:00","2017-06-23 05:00:00",7814,"Installation works"
11179,"Abon East Africa Ltd, 2017-3 ","SME Kitting/Manufacturing/Delivery","SME Kitting/Manufacturing/Delivery","Pending","2017-06-06 05:00:00","2017-06-23 05:00:00","2017-06-06 05:00:00","2017-06-23 05:00:00",7815,"Plumbing and installation pictures"
11179,"Abon East Africa Ltd, 2017-3 ","SME Kitting/Manufacturing/Delivery","SME Kitting/Manufacturing/Delivery","Pending","2017-06-06 05:00:00","2017-06-23 05:00:00","2017-06-06 05:00:00","2017-06-23 05:00:00",7816,"Plumbing and installation pictures"
11179,"Abon East Africa Ltd, 2017-3 ","SME Kitting/Manufacturing/Delivery","SME Kitting/Manufacturing/Delivery","Pending","2017-06-06 05:00:00","2017-06-23 05:00:00","2017-06-06 05:00:00","2017-06-23 05:00:00",7817,"Plumbing and installation pictures"
11179,"Abon East Africa Ltd, 2017-3 ","SME Kitting/Manufacturing/Delivery","SME Kitting/Manufacturing/Delivery","Pending","2017-06-06 05:00:00","2017-06-23 05:00:00","2017-06-06 05:00:00","2017-06-23 05:00:00",7818,"Plumbing and installation pictures"
11179,"Abon East Africa Ltd, 2017-3 ","SME Kitting/Manufacturing/Delivery","SME Kitting/Manufacturing/Delivery","Pending","2017-06-06 05:00:00","2017-06-23 05:00:00","2017-06-06 05:00:00","2017-06-23 05:00:00",7819,"Plumbing and installation pictures"
11179,"Abon East Africa Ltd, 2017-3 ","SME Kitting/Manufacturing/Delivery","SME Kitting/Manufacturing/Delivery","Pending","2017-06-06 05:00:00","2017-06-23 05:00:00","2017-06-06 05:00:00","2017-06-23 05:00:00",7820,"Plumbing and installation pictures"
11179,"Abon East Africa Ltd, 2017-3 ","SME Kitting/Manufacturing/Delivery","SME Kitting/Manufacturing/Delivery","Pending","2017-06-06 05:00:00","2017-06-23 05:00:00","2017-06-06 05:00:00","2017-06-23 05:00:00",7821,"Plumbing and installation pictures"
11179,"Abon East Africa Ltd, 2017-3 ","SME Kitting/Manufacturing/Delivery","SME Kitting/Manufacturing/Delivery","Pending","2017-06-06 05:00:00","2017-06-23 05:00:00","2017-06-06 05:00:00","2017-06-23 05:00:00",7822,"Plumbing and installation pictures"
11072,"Abon East Africa Ltd, 2017-1 ","Payments","15% Pellerin payment","Pending","2017-04-14 05:00:00","2017-04-26 05:00:00","2017-04-14 05:00:00","2017-04-26 05:00:00",,
11072,"Abon East Africa Ltd, 2017-1 ","In Transit","In Transit","Pending","2017-04-17 05:00:00","2017-06-09 05:00:00","2017-04-17 05:00:00","2017-06-09 05:00:00",,
11072,"Abon East Africa Ltd, 2017-1 ","duplicate","Customs Documentation","Draft","2017-08-06 05:00:00","2017-10-05 05:00:00","2017-08-06 05:00:00","2017-10-05 05:00:00",,
11072,"Abon East Africa Ltd, 2017-1 ","Payor Invoice","Invoicing Receipt from Warehouse","Pending","2017-07-08 05:00:00","2017-08-12 05:00:00","2017-07-08 05:00:00","2017-08-14 05:00:00",,
11072,"Abon East Africa Ltd, 2017-1 ","Paid in full","Delivery confirmation/document","Pending","2017-08-12 05:00:00","2017-10-21 05:00:00","2017-08-12 05:00:00","2017-12-21 06:00:00",,
11072,"Abon East Africa Ltd, 2017-1 ","Payments","Payments","Draft","2017-06-10 05:00:00","2017-06-16 05:00:00","2017-06-10 05:00:00","2017-06-16 05:00:00",,
11178,"Abon East Africa Ltd, 2017-2","Payor Invoice","Customs Documentation","Pending","2017-07-07 05:00:00","2017-07-14 05:00:00","2017-07-07 05:00:00","2017-07-14 05:00:00",,
11178,"Abon East Africa Ltd, 2017-2","Paid in full","Invoicing Receipt from Warehouse","Pending","2017-08-11 05:00:00","2017-08-24 05:00:00","2017-08-11 05:00:00","2017-08-24 05:00:00",,
11178,"Abon East Africa Ltd, 2017-2","duplicate","Delivery confirmation/document","Draft","2017-05-15 05:00:00","2017-05-16 05:00:00","2017-05-15 05:00:00","2017-05-16 05:00:00",,
11178,"Abon East Africa Ltd, 2017-2","Payments","","Draft","2017-05-30 05:00:00","2017-06-26 05:00:00","2017-05-30 05:00:00","2017-06-26 05:00:00",,
11178,"Abon East Africa Ltd, 2017-2","Payments","","Draft","2017-05-30 05:00:00","2017-06-26 05:00:00","2017-05-30 05:00:00","2017-06-26 05:00:00",,
11178,"Abon East Africa Ltd, 2017-2","In Transit","In Transit","Pending","2017-05-15 05:00:00","2017-06-09 05:00:00","2017-05-15 05:00:00","2017-06-09 05:00:00",,
11179,"Abon East Africa Ltd, 2017-3 ","Paid in full","Paid in full","Pending","2017-07-18 05:00:00","2017-08-24 05:00:00","2017-07-18 05:00:00","2017-08-24 05:00:00",,
11179,"Abon East Africa Ltd, 2017-3 ","Payor Invoice","Payor Invoice","Pending","2017-06-21 05:00:00","2017-07-14 05:00:00","2017-06-21 05:00:00","2017-07-14 05:00:00",,
11179,"Abon East Africa Ltd, 2017-3 ","duplicate","duplicate","Draft","2017-05-15 05:00:00","2017-05-16 05:00:00","2017-05-15 05:00:00","2017-05-16 05:00:00",,
11179,"Abon East Africa Ltd, 2017-3 ","Payments","","Draft","2017-04-13 05:00:00","2017-06-02 05:00:00","2017-04-13 05:00:00","2017-06-02 05:00:00",,
11179,"Abon East Africa Ltd, 2017-3 ","Payments","","Draft","2017-04-13 05:00:00","2017-06-02 05:00:00","2017-04-13 05:00:00","2017-06-02 05:00:00",,
